epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30627,1.613,3.03567,1.8847,0.00633,1,0.43988,0.28437,0.9745,2.78581,1.42765,0.00021435,0.00021435,0.00021435
2,10.7732,1.4879,2.41581,1.789,0.00457,1,0.45107,0.18005,1.58514,2.86442,1.7358,0.000434219,0.000434219,0.000434219
3,15.619,1.3081,2.23107,1.624,0.60493,0.58333,0.50391,0.27134,1.43416,1.94667,1.84285,0.000645033,0.000645033,0.000645033
4,20.0379,1.3507,2.15804,1.66935,0.31104,0.72222,0.45791,0.25355,1.48824,1.90756,2.03609,0.000846794,0.000846794,0.000846794
5,25.6344,1.29288,2.00153,1.57521,0.52802,0.58333,0.40808,0.23808,1.40216,2.58527,2.06891,0.0010395,0.0010395,0.0010395
6,30.3048,1.29265,1.94703,1.56172,0.29352,0.44444,0.45858,0.30683,1.19862,2.10659,1.64704,0.00122315,0.00122315,0.00122315
7,34.6649,1.24729,1.8253,1.54942,0.68376,0.58333,0.59017,0.30408,1.39351,2.92621,1.98536,0.00125923,0.00125923,0.00125923
8,39.657,1.24327,1.76568,1.53766,0.32527,0.80556,0.48999,0.31053,1.30834,2.07413,1.86247,0.00123094,0.00123094,0.00123094
9,45.0086,1.25946,1.77074,1.55397,0.4936,0.69444,0.59707,0.39812,1.19785,1.85616,1.62569,0.00120265,0.00120265,0.00120265
10,49.2203,1.26414,1.77305,1.5642,0.47949,0.87149,0.7309,0.50861,1.09774,1.36746,1.55744,0.00117435,0.00117435,0.00117435
11,54.0289,1.19067,1.57563,1.51265,0.40555,0.88889,0.64148,0.41883,1.25731,1.72751,1.63673,0.00114606,0.00114606,0.00114606
12,59.2947,1.17653,1.53183,1.49358,0.85471,0.60046,0.72707,0.45615,1.26679,1.4681,1.7624,0.00111776,0.00111776,0.00111776
13,63.9581,1.26609,1.63782,1.52717,0.447,0.59952,0.61165,0.41054,1.19486,1.84293,1.70211,0.00108947,0.00108947,0.00108947
14,68.7499,1.18093,1.45749,1.4649,0.61667,0.68421,0.64197,0.47586,1.06504,1.44019,1.77913,0.00106118,0.00106118,0.00106118
15,73.832,1.23368,1.44706,1.52734,0.50656,0.77778,0.70733,0.5145,1.00741,1.36289,1.50571,0.00103288,0.00103288,0.00103288
16,78.2491,1.13007,1.40153,1.44483,0.623,0.68732,0.73362,0.49083,1.09309,1.27094,1.52876,0.00100459,0.00100459,0.00100459
17,82.8317,1.19147,1.44644,1.50091,0.76116,0.75791,0.73748,0.53023,1.16931,1.32998,1.57881,0.000976293,0.000976293,0.000976293
18,88.6279,1.1534,1.36694,1.49474,0.76866,0.73611,0.70415,0.47099,1.13568,1.46199,1.52146,0.000947999,0.000947999,0.000947999
19,93.0652,1.13381,1.34693,1.46755,0.84505,0.73611,0.74774,0.55268,1.01373,1.30669,1.43847,0.000919704,0.000919704,0.000919704
20,97.5218,1.12242,1.29723,1.42351,0.58579,0.73988,0.75507,0.58392,0.84189,1.25073,1.319,0.00089141,0.00089141,0.00089141
21,103.461,1.1247,1.2596,1.43056,0.91634,0.66667,0.73963,0.50228,1.23567,1.36528,1.66244,0.000863116,0.000863116,0.000863116
22,107.634,1.11773,1.2516,1.41507,0.86417,0.77778,0.76706,0.54113,1.04889,1.11554,1.48002,0.000834822,0.000834822,0.000834822
23,112.228,1.1283,1.26381,1.45726,0.54945,0.75166,0.745,0.51255,1.18538,1.3001,1.50039,0.000806528,0.000806528,0.000806528
24,118.149,1.09284,1.23505,1.4137,0.58217,0.64543,0.5827,0.43226,0.96067,1.74079,1.39837,0.000778233,0.000778233,0.000778233
25,122.39,1.05037,1.19569,1.37764,0.55453,0.73055,0.66442,0.5131,1.03558,1.44373,1.39613,0.000749939,0.000749939,0.000749939
26,126.696,1.04111,1.15329,1.38099,0.54999,0.56944,0.58561,0.44816,1.03357,1.58409,1.41903,0.000721645,0.000721645,0.000721645
27,132.493,1.02925,1.14046,1.36853,0.57859,0.73611,0.68677,0.57039,0.72643,1.23021,1.25116,0.000693351,0.000693351,0.000693351
28,136.664,1.03885,1.11024,1.39131,0.8683,0.77778,0.74187,0.53798,1.06227,1.01044,1.46641,0.000665057,0.000665057,0.000665057
29,140.77,1.03405,1.12358,1.35367,0.73545,0.73061,0.73206,0.58789,0.78708,1.08374,1.28306,0.000636762,0.000636762,0.000636762
30,146.523,1.05319,1.06185,1.40749,0.59257,0.77778,0.72859,0.50464,1.22368,1.27055,1.55882,0.000608468,0.000608468,0.000608468
31,150.843,1.03813,1.05398,1.36692,0.6863,0.77778,0.74907,0.58363,0.84953,1.07464,1.31852,0.000580174,0.000580174,0.000580174
32,155.499,1.02982,1.05034,1.38155,0.66883,0.77778,0.75315,0.56515,0.98314,1.01372,1.40207,0.00055188,0.00055188,0.00055188
33,161.368,0.96908,1.01411,1.31349,0.56731,0.73611,0.73763,0.55774,0.8261,1.22577,1.29796,0.000523586,0.000523586,0.000523586
34,165.552,0.93073,0.97285,1.29976,0.78875,0.76049,0.79046,0.56394,1.06434,1.10995,1.43453,0.000495291,0.000495291,0.000495291
35,169.626,0.94664,0.95661,1.33042,0.74312,0.77778,0.74918,0.53918,0.9577,1.13599,1.39643,0.000466997,0.000466997,0.000466997
36,175.622,1.01582,1.04952,1.35814,0.65213,0.77778,0.72109,0.5174,0.9217,1.14522,1.35441,0.000438703,0.000438703,0.000438703
37,181.811,1.002,1.06024,1.36635,0.76591,0.73611,0.68901,0.54441,0.84193,1.13705,1.28003,0.000410409,0.000410409,0.000410409
38,186.3,0.98238,1.00415,1.32922,0.87212,0.73611,0.74224,0.59709,0.71672,0.98897,1.19756,0.000382115,0.000382115,0.000382115
39,192.159,0.9577,0.97259,1.33472,0.89336,0.76405,0.75851,0.61166,0.78523,1.00232,1.2282,0.00035382,0.00035382,0.00035382
40,196.611,0.99301,1.00609,1.33017,0.75507,0.73611,0.74755,0.60509,0.74817,1.11592,1.20294,0.000325526,0.000325526,0.000325526
41,202.591,0.74006,0.9931,1.26105,0.71247,0.73611,0.64057,0.48863,0.9142,1.44304,1.33267,0.000297232,0.000297232,0.000297232
42,207.405,0.757,0.9498,1.27277,0.73499,0.77778,0.75876,0.58838,0.80632,1.10633,1.26655,0.000268938,0.000268938,0.000268938
43,211.038,0.71441,0.85912,1.27605,0.7897,0.77778,0.72546,0.60101,0.65818,1.11024,1.15635,0.000240644,0.000240644,0.000240644
44,214.961,0.73275,0.81478,1.2563,0.82276,0.73611,0.66443,0.5496,0.67407,1.29561,1.17564,0.000212349,0.000212349,0.000212349
45,220.042,0.70959,0.79831,1.26202,0.78268,0.7701,0.69667,0.5827,0.68029,1.25327,1.16568,0.000184055,0.000184055,0.000184055
46,223.924,0.67777,0.73358,1.19819,0.70451,0.77778,0.73252,0.61857,0.66039,1.20244,1.13971,0.000155761,0.000155761,0.000155761
47,227.734,0.70153,0.74288,1.21819,0.72423,0.77778,0.74048,0.60644,0.67818,1.12409,1.15066,0.000127467,0.000127467,0.000127467
48,231.516,0.71391,0.76599,1.24235,0.77086,0.7712,0.73969,0.61626,0.65682,1.16502,1.13354,9.91726e-05,9.91726e-05,9.91726e-05
49,236.62,0.66715,0.71861,1.2128,0.7746,0.76392,0.71307,0.60576,0.60455,1.15825,1.09485,7.08784e-05,7.08784e-05,7.08784e-05
50,240.146,0.66225,0.70612,1.18872,0.77145,0.77175,0.7423,0.62636,0.6219,1.14766,1.1071,4.25842e-05,4.25842e-05,4.25842e-05
